"ucl","uel","epl","LaLiga","Bundesliga","SerieA","Ligue1","hours","years","fifa","age","origin","gender","sm","region","marketing","ajax","everton","lyon","arsenal","valencia","schalke","napoli","barcelona","manu","besiktas","chelsea","acmilan","juventus","monaco","feyenoord","liverpool","galatasaray","nice","dortmund","intermilan","leicestercity","wolfsburg","porto","atletico","mancity","montpellier","bayernmunich","realmadrid","tottenham","marseille","roma","villarreal","fenerbahce","psg","benfica","sevilla","juventusS","intermilanS","dortmundS","monacoS","chelseaS","bayernmunichS","schalkeS","barcelonaS","liverpoolS","tottenhamS","atleticoS","mancityS","manuS","realmadridS","ajaxS","napoliS","leicestercityS","wolfsburgS","tc","tcp","ts","tsp"
"Yes","No","Yes","Yes","No","No","No","1-4 Hours","3-4 Years","Weekly or Daily","18-21","United States","Male","Daily","Region 2","Agree",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,94.4,4,11.1
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","1-4 Hours","6+ Years","Weekly or Daily","18-21","United States","Male","Daily","Region 4","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","No","No","No","1-4 Hours","6+ Years","Weekly or Daily","22-25","United States","Male","Daily","Region 5","Agree",1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,22,61.1,4,11.1
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","1-4 Hours","6+ Years","Weekly or Daily","18-21","Foreign Country","Male","Daily","Region 5","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,32,88.9,14,38.9
"Yes","No","Yes","Yes","Yes","Yes","Yes","1-4 Hours","6+ Years","Weekly or Daily","18-21","Foreign Country","Male","Daily","Region 5","Agree",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,35,97.2,9,25
"Yes","No","Yes","Yes","Yes","Yes","Yes","1-4 Hours","3-4 Years","Weekly or Daily","18-21","United States","Male","Daily","Region 4","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,36,100,15,41.7
"Yes","No","Yes","Yes","No","No","No","1-4 Hours","5-6 Years","Weekly or Daily","18-21","United States","Male","Daily","Region 4","Agree",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,35,97.2,12,33.3
"Yes","Yes","Yes","Yes","No","No","No","1-4 Hours","1-2 Years","Weekly or Daily","18-21","United States","Male","Daily","Region 5","Strongly Agree",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,25,69.4,11,30.6
"Yes","No","Yes","Yes","Yes","No","No","1-4 Hours","6+ Years","Weekly or Daily","18-21","United States","Male","Daily","Region 5","Disagree",0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,21,58.3,8,22.2
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","1-4 Hours","3-4 Years","Weekly or Daily","22-25","United States","Male","Daily","Region 5","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","No","Yes","No","No","No","No","1-4 Hours","6+ Years","Weekly or Daily","22-25","United States","Male","Daily","Region 5","Strongly Disagree",1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,27,75,6,16.7
"Yes","No","Yes","No","No","No","No","1-4 Hours","6+ Years","Weekly or Daily","No Response","United States","Female","Daily","Region 5","Strongly Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Weekly or Daily","18-21","United States","Male","Daily","Region 4","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,94.4,18,50
"Yes","Yes","Yes","Yes","No","Yes","No","5+ Hours","5-6 Years","Weekly or Daily","18-21","United States","Male","Daily","Region 3","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,36,100,11,30.6
"Yes","Yes","Yes","No","Yes","Yes","Yes","5+ Hours","6+ Years","Weekly or Daily","18-21","United States","Male","Daily","Region 5","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,83.3,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Weekly or Daily","18-21","United States","Male","Daily","Region 5","Strongly Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,36,100,15,41.7
"No","Yes","Yes","Yes","Yes","Yes","No","5+ Hours","0 Years","Weekly or Daily","22-25","Foreign Country","Male","Daily","Region 3","Strongly Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Weekly or Daily","22-25","United States","Male","Daily","Region 3","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Weekly or Daily","26-29","Foreign Country","Male","Daily","Region 5","Disagree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"No","No","No","No","No","No","No","0 Hours","0 Years","Rarely or Monthly","18-21","United States","Male","Daily","Region 3","Agree",1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,16,44.4,5,13.9
"Yes","No","Yes","Yes","Yes","No","No","1-4 Hours","5-6 Years","Rarely or Monthly","18-21","Foreign Country","Female","Daily","Region 4","Disagree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","1-4 Hours","3-4 Years","Rarely or Monthly","18-21","United States","Male","Daily","Region 5","Strongly Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,36,100,12,33.3
"Yes","No","Yes","Yes","Yes","Yes","Yes","1-4 Hours","6+ Years","Rarely or Monthly","18-21","United States","Male","Daily","Region 5","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","No","Yes","No","Yes","No","No","1-4 Hours","6+ Years","Rarely or Monthly","18-21","United States","Male","Daily","Region 5","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,100,0,0
"Yes","No","Yes","No","No","No","No","1-4 Hours","6+ Years","Rarely or Monthly","26-29","United States","Male","Daily","Region 1","Agree",1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,23,63.9,8,22.2
"Yes","Yes","Yes","No","No","No","No","5+ Hours","6+ Years","Rarely or Monthly","22-25","United States","Male","Daily","Region 5","No Response",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,17,47.2
"Yes","No","Yes","No","No","No","No","5+ Hours","5-6 Years","Rarely or Monthly","26-29","United States","Male","Daily","Region 4","Strongly Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,32,88.9,11,30.6
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Rarely or Monthly","18-21","United States","Female","Daily","Region 3","Agree",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,100,18,50
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","5+ Hours","6+ Years","Rarely or Monthly","22-25","Foreign Country","Female","Daily","Region 4","Agree",0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,26,72.2,9,25
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","Foreign Country","Male","Daily","Region 4","Agree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"No","No","No","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Female","Daily","Region 2","Disagree",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.3,0,0
"No","No","Yes","No","No","No","No","0 Hours","0 Years","Never","18-21","United States","Male","Daily","Region 3","Disagree",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.9,0,0
